TEXT (BAHASA),TEXT (ENGLISH),DATA STATUS,FIRST ANNOTATOR,SECOND ANNOTATOR
$Aku adalah orang yang gagal”$ karena tidak lulus di tes polisi,$I am a failure”$ because I did not pass the police test,RAW-ORI,Labeling,Labeling
ketika gagal mengerjakan suatu hal maka $saya akan mengecap diri sendiri sebagai orang gagal.$,"When I fail to do something, I will label myself as a failure",RAW-ORI,Labeling,Labeling
Saya memberikan label pada diri sendiri bahwa $saya orang bodoh dan susah untuk menentukan suatu hal$ apakah baik untuk saya sendiri dan saya merasa orang lain merasa saya demikian,I gave myself a label that I was stupid and had difficulty deciding whether something was good for me and I felt that other people felt that way.,RAW-ORI,Labeling,Labeling
$Saya selalu berfikir diri saya gagal$ ketika saya tidak bisa menyelesaikan apa yang saya mulai,$I always think of myself as a failure$ when I can't finish what I started,RAW-ORI,Labeling,Labeling
$aku adalah orang yang gagal dalam memahami orang lain$,$I am a person who fails to understand other people$,RAW-ORI,Labeling,Labeling
$Saya berpikir saya adalah orang yang gampang menyerah$ dan gampang untuk bangkit kembali,$I think I am a person who gives up easily$ and is easy to get back up,RAW-ORI,Labeling,Labeling
$Saya berpikir saya adalah orang yang gagal$ karena tidak mendapatkan rengking 10 besar,$I thought I was a failure$ because I didn't get a top 10 ranking,RAW-ORI,Labeling,Labeling
"$Pernah berpikir adikku tidak akan bisa melakukan apapun karena malas$, karena ternyata saya salah memahami adik saya","$I once thought my sister wouldn't be able to do anything because she was lazy$, because apparently I misunderstood my sister",RAW-ORI,Labeling,Labeling
$Saya merasa gagal dalam merawat dan menjaga anjing saya$ karena dia meninggal di racun orang,$I feel like I failed in caring for and looking after my dog$ because he died from people's poison,RAW-ORI,Labeling,Labeling
$Saya adalah orang yang perhitungan$ karena saya selalu berpikir untuk memberikan sesuatu pada orang,$I am a calculating person$ because I always think about giving something to people,RAW-ORI,Labeling,Labeling
"saya pernah berfikir$""saya tidak pernah merasa disukai secara tulus""$ karena saya tidak pernah menemukan seseorang yang pada akhirnya tetap bersama saya ketika saya mengalami sebuah masalah, kebanyakan dari mereka akan mencari saya ketika mereka mengalami kesulitan atau membutuhkan bantuan saya","I once thought$""I never felt genuinely liked""$ because I never found someone who ultimately stayed with me when I was having a problem, most of them would look for me when they were having trouble or needed my help",RAW-ORI,Labeling,Labeling
"Saat SMA saya mempunyai teman yang sangat haus akan perhatian, saya jengkel melihatnya dah selalu berkata dalam hati $“Pickme bgt jd cewe”$","When I was in high school, I had a friend who was very hungry for attention, I was annoyed to see him and always said to himself ""What a pickme for being a girl""$",RAW-ORI,Labeling,Labeling
Saya pernah berpikir bahwa $siB adalah orang yang buruk karena menjadi pelakor$,I once thought that $siB was a bad person for being a perpetrator$,RAW-ORI,Labeling,Labeling
"Ketika saya membuat kesalahan besar, $pemikiran negatif muncul dan memberi label diri saya sebagai ""gagal.""$ Saya juga merasa cenderung memberi label pada orang lain yang terlibat, tanpa memberi ruang untuk pertimbangan bahwa setiap orang bisa melakukan kesalahan. Belakangan, saya belajar memberikan empati pada diri sendiri dan orang lain, menyadari bahwa kesalahan bukanlah identitas tetap.","When I make a big mistake, negative $thinking kicks in and labels me as a “failure.”$ I also feel inclined to label the other people involved, without making room for consideration that anyone can make mistakes. Later, I learned to give empathy to myself and others, realizing that mistakes are not a fixed identity.",RAW-ORI,Labeling,Labeling
"$Say berfikir teman saya aneh$, karena setiap perlakuan yg dilakukannya hanya untuk kepentingan pribadinya","$I think my friend is strange, because every action he does is only for his personal interest",RAW-ORI,Labeling,Labeling
"$Label di diri saya yaitu tidak enakan pada orang lain$, sedangkan orang lain seenaknya terhadap saya","$The label on me is that I don't feel good towards other people$, while other people are arbitrary towards me",RAW-ORI,Labeling,Labeling
$saya selalu memberikan label buruk kepada laki-laki yang masa lalunya pernah selingkuh$. akrena menurut saya itu tidak bisa sembuh dan tidak menutup kemungkinan hal tersebut akan terjadi lagi.,$I always give a bad label to men who have cheated in the past$. because in my opinion it cannot be cured and does not rule out the possibility that it will happen again.,RAW-ORI,Labeling,Labeling
$Aku adalah anak yang tidak berguna$,$I'm a useless child$,RAW-ORI,Labeling,Labeling
Saya berpikir bahwa $saya adalah orang yang gagal$ karena belum bisa masuk ke jurusan yang saya mau dan belum masuk ke sekolah kedinasan.,I think that I am a failure because I haven't been able to get into the major I want and haven't gone to official school.,RAW-ORI,Labeling,Labeling
"pada saat saya melakukan kkn ada salah satu anak yg tidak mau bergantian ketika mencuci pakain sedangkan kota disana harus menghemat air, hal itu membuat $saya berpikir bahwa dia egois$","When I was doing it, there was one of the children who didn't want to take turns washing clothes while the city there had to save water, this made me think that he was selfish.",RAW-ORI,Labeling,Labeling
Saya pernah berpikir $saya adalah orang yang gagal$ karena tidak masuk kategori siswa eligible,I once thought that I was a failure because I was not in the eligible student category,RAW-ORI,Labeling,Labeling
saya merasa takut dengan $orang bertatto dan berpikir “akan terjadi hal buruk pada saya”$,"I feel afraid of $people with tattoos and think ""bad things will happen to me""$",RAW-ORI,Labeling,Labeling
$Saya memberi label kepada diri saya sebagai orang yang introvert$ kecuali orang lain berinteraksi dengan saya duluan.,$I label myself as an introvert$ unless other people interact with me first.,RAW-ORI,Labeling,Labeling
"Hanya karena teman saya tidak mengerti apa yang saya maksud, $saya mengecap dia/melabelkan dia si otak lemot.$","Just because my friend didn't understand what I meant, $I labeled him/labeled him as a slow brain.$",RAW-ORI,Labeling,Labeling
"teman saya terlalu banyak menceritakan hal hal yang tidak perlu untuk dieritakan dan terlalu banyak membahas hanya seputar dirinya sendiri, kemudian $teman saya yang lain mengatakan ia ""pick me"" dan saya menyetujuinya.$","My friend told too many unnecessary things to tell and talked too much about himself, then my other friend said he ""picked me"" and I agreed.",RAW-ORI,Labeling,Labeling
"$Saya pikir teman saya berantakan,$ karena dia memiliki sifat yang tidak konsisten","$I think my friend is a mess,$ because he has an inconsistent nature",RAW-ORI,Labeling,Labeling
"Saya pernah merasa bahwa $""saya adalah beban keluarga""$ karena saya merupakan satu satunya anggota keluarga yang belum mendapatkan penghasilan","I once felt that $""I was a burden on the family""$ because I was the only family member who didn't earn an income",RAW-ORI,Labeling,Labeling
Saya pernah berteman dengan orang yang sering memanfaatkan saya. Orang seperti itu seringkali membuat risih. Jadi $menurut saya dia bukan teman yang baik$,I once made friends with people who often took advantage of me. People like that often make people uncomfortable. So $I don't think he's a good friend$,RAW-ORI,Labeling,Labeling
"Saya memberi label $“dia jahat, dia munafik”$ ke mantan tmn saya dikampus. Karena saya tbtb dimusuhin tanpa sebab tanpa memberi tau apa salah saya. Dan dia ngomongin saya diblkg tp dia didpn sy so baik","I labeled $""he's evil, he's a hypocrite""$ to my ex-friend in college. Because I was attacked without any reason without telling me what I was doing wrong. And he said that I was blocked but he was so good in front of me",RAW-ORI,Labeling,Labeling
"Ketika saya melihat orang yang berpakaian yang aneh,Saya berpikir $"" Orang ini pasti jahat""$","When I see someone dressed strangely, I think $""This person must be evil""$",RAW-ORI,Labeling,Labeling
"Dalam pengalaman saya, $saya sempat melabeli diri saya sebagai orang yang aneh$ karena saya tidak seperti orang lain kebanyakan, saya berusaha mencari-cari hal yang membuat saya berbeda dari orang lain, saya terlalu memikirkan segala sesuatunya disaat orang lain terlihat santai","In my experience, $I had labeled myself as a strange person$ because I was not like most other people, I tried to look for things that made me different from other people, I thought too much about everything when other people looked relaxed",RAW-ORI,Labeling,Labeling
"Saya melabeli seseorang dengan $""tidak tau malu""$ untuk orang-orang yang membohongi dan mengkhianati saya.","I label someone $""shameless""$ for people who lied to and betrayed me.",RAW-ORI,Labeling,Labeling
Saya merasa kesal pada teman saya dan berpikir $“teman saya hanya memanfaatkan saya dan melupakan teman ketika bersama pacarnya”$ karena teman saya tidak bisa membaca kondisi disekitarnya.,"I feel annoyed at my friend and think $""my friend is just using me and forgetting about friends when he is with his girlfriend""$ because my friend can't read the conditions around him.",RAW-ORI,Labeling,Labeling
"$Saya berfikir bawa temen saya adalah orang yang pendiam dan pemalu$, karena saya tidak pernah melihat dia berkomunikasi atau sekedar bertegur sapa dengan orang lain.","$I think that my friend is a quiet and shy person$, because I have never seen him communicate or just greet other people.",RAW-ORI,Labeling,Labeling
ketika saya berpikir bahwa $saya adalah orang yang bodoh$ karena terlalu berharap pada orang lain,when I think that $I am a stupid person$ for expecting too much from other people,RAW-ORI,Labeling,Labeling
"awalnya saya berteman baik, tapi lama kelamaan teman saya hanya berfikir untuk hidup santai, $saya memberi dia label malas$, saya masi berteman, tapi saya sedikit menjauh","At first I was good friends, but over time my friend only thought about living a relaxed life, $I gave him the label lazy$, I'm still friends, but I'm a little distant",RAW-ORI,Labeling,Labeling
"Saya mempunyai seorang teman yang memiliki impian sangat banyak, namun tidak pernah melakukan suatu perubahan yang mengarah ke impiannya. Jadi, terkadang $saya menganggap dia orang yang omong kosong saja.$","I have a friend who has lots of dreams, but never makes any changes that lead to his dreams. So, sometimes $I think he's just a bullshit person.$",RAW-ORI,Labeling,Labeling
Saya ada berpikir $“saya adalah orang yang gagal” $karena tidak mendapatkan nilai yang memuaskan,"I thought ""I am a failure"" because I didn't get satisfactory grades",RAW-ORI,Labeling,Labeling
"Ketika hari pertama kuliah ada beberapa teman yang saya lihat friendly dan ada juga yang sikapnya jutek, dan itu membuat $saya menilai mereka tidak rama$ padahal saya belum kenal baik dengan mereka.","On the first day of college, there were some friends that I saw as friendly and there were also those whose attitudes were rude, and that made me judge them as unfriendly even though I didn't know them well.",RAW-ORI,Labeling,Labeling
"$Aku adalah orang yang tidak sabaran$,karena aku sering menyalip antrian orang lain.","$I am an impatient person$, because I often overtake other people's queues.",RAW-ORI,Labeling,Labeling
"Saya pernah berpikir bahwa $""kelahiran saya di dunia adalah sebuah kesalahan""$ karena banyak situasi buruk yang harus saya lewati","I once thought that $""my birth in this world was a mistake""$ because of the many bad situations that I had to go through",RAW-ORI,Labeling,Labeling
"pertama tama saya kuliah, saya menemukan 1 orang teman yang diam2 tapi mematikan $“teman ku ini ternyata bermuka dua”$ karena kadang keluar sifat aslinya","the first time I went to college, I found a friend who was secretly but deadly $""my friend turned out to be two-faced""$ because sometimes his true nature came out",RAW-ORI,Labeling,Labeling
Saya berfikir bahwa $orang-orang yang yang tidak menatap saya saat sedang berbicara adalah orang yang tidak menghargai orang lain$.,I think that people who don't look at me while talking are people who don't respect other people.,RAW-ORI,Labeling,Labeling
saya memberikan label negatif pada diri saya sendiri. Ketika saya melakukan kesalahan besar dalam sebuah organisasi $saya langsung merasa sebagai gagal dan merasa bahwa saya adalah orang yang tidak kompeten.$,"I gave myself a negative label. When I make a big mistake in an organization, I immediately feel like a failure and feel that I am an incompetent person.$",RAW-ORI,Labeling,Labeling
Ketika mereka overreacting pada suatu hal $saya akan mencap mereka sebagai orang yang terlalu berlebihan dalam merespon sesuatu$,"When they overreact to something, I will label them as someone who responds too much to something",RAW-ORI,Labeling,Labeling
Dalam suatu kondisi saya pernah $mengatakan teman saya itu tidak memiliki attitude yg baik$ karena pergaulan nya yg sangat bebas,"In one situation, I once said that my friend didn't have a good attitude because his social interactions were very free",RAW-ORI,Labeling,Labeling
"Suatu hari, saya mengalami peristiwa yang membuat saya memiliki pemikiran yang memberikan label negatif pada diri sendiri dan juga orang lain. Saat itu, saya sedang berada dalam situasi yang penuh tekanan di tempat kerja.
Saya memiliki seorang rekan kerja yang selalu tampak siap menghadapi segala tantangan dengan percaya diri. Ia sering kali sukses menghadapi situasi sulit dan mendapatkan apresiasi dari atasan. Namun, saya merasa cemburu dan merendahkan diri sendiri karena merasa tidak sekompeten dan tidak berharga dibandingkan dengan rekan kerja tersebut.
Setiap kali ada proyek baru yang seharusnya menjadi kesempatan bagiku untuk menunjukkan kemampuan, saya selalu merasa ragu dan tidak yakin akan kecakapanku sendiri. Saya sering kali membandingkan diriku dengan rekan kerja tersebut, menganggap diriku sebagai $""tidak sebanding"" dan ""tidak berbakat""$. Pemikiran negatif semacam itu membuat saya merasa rendah diri dan semakin memupuk rasa tidak percaya pada diri sendiri.
Tidak hanya pada diri sendiri, pemikiran negatif ini juga terkadang saya arahkan kepada rekan kerja tersebut. Saya mulai memperhatikan setiap kali ia membuat kesalahan atau mengalami kegagalan. Pada saat itu, saya seakan menegaskan kelemahan dan ketidaksempurnaannya, memperkuat pemikiran negatif yang saya miliki.
Namun, seiring berjalannya waktu, saya menyadari bahwa pemikiran negatif ini hanya membatasi pertumbuhan pribadi saya dan merusak hubungan antara kami. Saya mulai menyadari bahwa setiap individu memiliki keunikan dan kelebihan masing-masing. Hal ini membuat saya berhenti membandingkan diri sendiri dengan orang lain dan fokus pada perkembangan pribadi tanpa harus merendahkan diri atau orang lain.
Peristiwa ini membuka mata saya tentang bagaimana pemikiran negatif dapat mempengaruhi cara kita melihat diri sendiri dan orang lain. Sejak itu, saya berusaha untuk lebih menghargai dan menghormati diri sendiri serta orang-orang di sekitar saya. Saya belajar bahwa pemikiran positif yang membangun adalah kunci untuk mengatasi perasaan rendah diri dan mencapai potensi penuh dalam hidup.","One day, I experienced an event that made me have thoughts that gave negative labels to myself and others. At that time, I was in a stressful situation at work. 
I had a coworker who always seemed ready to face any challenge with confidence. He often succeeded in facing difficult situations and received appreciation from his superiors. However, I felt jealous and belittled myself because I felt incompetent and worthless compared to that coworker. 
Every time there was a new project that should have been an opportunity for me to show my abilities, I always felt doubtful and unsure of my own abilities. I often compared myself to that coworker, considering myself as $""not comparable"" and ""not talented""$. Such negative thoughts made me feel inferior and further fostered a sense of self-doubt. 
Not only to myself, I also sometimes directed these negative thoughts at that coworker. I started to pay attention every time he made a mistake or experienced failure. At that time, I seemed to emphasize his weaknesses and imperfections, strengthening the negative thoughts that I had. 
However, as time went by, I realized that these negative thoughts only limited my personal growth and damaged our relationship. I began to realize that every individual has their own uniqueness and strengths. This made me stop comparing myself to others and focus on personal growth without putting myself or others down. This incident opened my eyes to how negative thoughts can affect the way we see ourselves and others. Since then, I have tried to appreciate and respect myself and the people around me more. I learned that positive, constructive thinking is the key to overcoming feelings of inferiority and reaching my full potential in life.",RAW-ORI,Labeling,Labeling
"$Saya suka melabel diri saya sendiri egois$ karna beberapa kali masalah dengan pasangan saya, saya menuntut untuk dimengerti tapi saya sama sekali tidak mengerti kondisinya","$I like to label myself selfish$ because several times I had problems with my partner, I demanded to be understood but I didn't understand the condition at all",RAW-ORI,Labeling,Labeling
$Saya pernah berpikir bahwa teman saya terlalu mudah marah$ karena masalah sepele.,$I once thought that my friend got angry too easily$ over trivial matters.,RAW-ORI,Labeling,Labeling
"Aku berpikir $""aku adalah orang yang tidak berguna karena aku tidak dapat menyelesaikan masalah""$","I thought $""I'm a useless person because I can't solve problems""$",RAW-ORI,Labeling,Labeling
"$Salah satu teman saya di sma adalah orang aneh$ karena ia sering berbohong dan tidak pernah menepati janji, terutama mengenai perhutangan","One of my friends in high school was a strange person because he often lied and never kept his promises, especially regarding debts.",RAW-ORI,Labeling,Labeling
"Ada seseorang yang ketika ia berbicara, ia selalu membicarakan kekurangan dan menjelek-jelekkan kekurangan orang lain. Bahkan berbicara tidak sesuai fakta yang ada. $Saya sering menyebut orang itu dengan ""si mulut sampah"".$","There is someone who when he speaks, he always talks about shortcomings and badmouths other people's shortcomings. Even speaking does not match the existing facts. $I often call that person ""trash mouth"".$",RAW-ORI,Labeling,Labeling
$Saya pernah merasa diri saya orang yang gagal$ karena selalu menyerah dan tidak konsisten dalam mencapai sesuatu,I once felt like I was a failure because I always gave up and was inconsistent in achieving something,RAW-ORI,Labeling,Labeling
"Saya kesal terhadap teman saya dan $saya berpikir ""orang ini adalah problematik""$ karena beberapa kali bermasalah di kepanitian","I was annoyed with my friend and $I thought ""this person is problematic""$ because he had problems on the committee several times",RAW-ORI,Labeling,Labeling
$Saya merasa saya adalah orang yang tidak pantas untuk dicintai $ karena tidak ada tanda-tanda akan kehadiran seseorang yang spesial di hidup saya selama belasan tahun,$ I feel I am a person who does not deserve to be loved $ because there has been no sign of the presence of someone special in my life for a dozen years,RAW-ORI,Labeling,Labeling
$Saya sering memikirkan bahwa saya adalah orang yang gagal$ karena runtutan kejadian yang terjadi di hidup saya. Saya pikir saya bisa melebihi diri saya saat ini jika hal-hal tersebut tidak terjadi.,$I often think that I am a failure$ because of the series of events that occurred in my life. I think I could have surpassed who I am today if those things hadn't happened.,RAW-ORI,Labeling,Labeling
"$Saya selalu merasa salah satu teman saya di kelas memiliki sifat yang aneh$, sehingga membuat teman-teman yang lain juga merasakan keanehan tersebut. Banyak yang menganggap dia sebagai individu yang tidak memiliki gambaran yang jelas atau bisa dibilang sifatnya sangat random dan susah untuk diajak bergaul.","$I always feel that one of my friends in class has a strange personality$, which makes other friends also feel this strangeness. Many consider him to be an individual who does not have a clear picture or can be said to be very random and difficult to get along with.",RAW-ORI,Labeling,Labeling
"$Aku melabeli diriku sebagai ""beban""$ karena ngerasa ga punya kompetensi di bidang apapun. Bahkan bakat ku satu-satunya yang dulu aku rasa, aku baik di bidang tersebut, nyatanya tidak ada apa-apanya saat aku bertemu dengan orang-orang yang bakatnya sama denganku dan mereka jauh lebih baik dari aku. Jadi bertanya-tanya sebenarnya kelebihan ku apa? Rasanya gaada yang bisa aku sombongin dari diri sendiri karena serba kurang.

Aku juga kadang melabeli temanku, first impression menurutku sangat penting. Ketika aku bertemu seseorang dengan first impression yang jelek, walau setelahnya kami berteman baik-baik aja, terkadang masih dibayangi sama first impressionnya yang buruk. Contohnya salah satu temanku yang aku anggap ""aneh"" karena dia bisa langsung berbicara akrab dengan orang asing disekitarnya, bahkan sampai melemparkan jokes seolah-olah dia akrab dengan orang yang dia ajak bicara. Iya, menurutku dia aneh, karena aku salah satu korban ""SKSD"" nya dia. Sebagai seorang introvert, melihat dia yang tiba-tiba bisa sok ""SKSD"" dengan orang lain itu sebagai sesuatu yang aneh.","$I labeled myself as a ""burden""$ because I felt like I had no competence in any field. Even my only talent that I used to think was that I was good in that field, in fact it was nothing when I met people whose talents were the same as mine and they were much better than me. So I'm wondering what my strengths actually are? It feels like there is nothing I can be proud of about myself because everything is lacking.

I also sometimes label my friends, I think first impressions are very important. When I meet someone with a bad first impression, even though afterward we become good friends, sometimes it is still overshadowed by the bad first impression. For example, one of my friends who I consider ""strange"" because he can immediately talk intimately with strangers around him, even going so far as to make jokes as if he is familiar with the person he is talking to. Yes, I think he's strange, because I'm one of his ""SKSD"" victims. As an introvert, seeing him suddenly be able to act ""SKSD"" with other people is something strange.",RAW-ORI,Labeling,Labeling
$saya adalah orang yang selalu gagal dalam memperbaiki hubungan$,$I am a person who always fails in fixing relationships$,RAW-ORI,Labeling,Labeling
Saya pernah berpikir bahwa mungkin $saya memang tidak layak untuk orang lain$,I once thought that maybe $I wasn't worthy of other people$,RAW-ORI,Labeling,Labeling
"$Saya berpikir saya adalah orang gagal$ ketika saya mengecewakan orang tua saya karena ranking saya turun

Saya berpikir buruk terhadap teman saya yang pernah ketahuan mencuri.","$I thought I was a failure$ when I disappointed my parents because my ranking dropped

I thought badly about my friend who had been caught stealing.",RAW-ORI,Labeling,Labeling
$saya berfikir saya tidak bisa survive as an IR student$ karena saya pasif saat MUN,$I thought I couldn't survive as an IR student$ because I was passive during MUN,RAW-ORI,Labeling,Labeling
Saya memiliki seseorang teman sekelas lawan jenis yang saya pikir sikapnya agak aneh. $'Orang aneh' adalah label saya terhadap orang ini.$,I had a classmate of the opposite sex whose behavior I thought was a bit strange. $'Freak' is my label for this person.$,RAW-ORI,Labeling,Labeling
saya kesal dengan diri sendiri saat saya tidak bisa mengerjakan sesuatu dengan baik sehingga $selalu mengatai diri sendiri dengan “bodoh”$,"I'm annoyed with myself when I can't do something well so I always call myself ""stupid"".",RAW-ORI,Labeling,Labeling
$Melabeli diri saya sevagai beban orang tua$,$Labeling myself as a burden on parents$,RAW-ORI,Labeling,Labeling
$Saya pernah melabeli seseorang sebagai orang narsis$ karena kalau bicara selalu menyanjung dirinya sendiri.,$I once labeled someone as a narcissist$ because when he talked he always flattered himself.,RAW-ORI,Labeling,Labeling
$saya pernah menganggap salah satu dari teman saya lalai$ karena dia terlambat datang untuk kerja kelompok satu kali.,$I once thought one of my friends was negligent$ because he arrived late for group work once.,RAW-ORI,Labeling,Labeling
"Kepada beberapa teman kelas yang umumnya sering keluar malam malam, $saya mengecap mereka sebagai orang tidak baik baik$","To some classmates who generally often go out at night, I label them as bad people",RAW-ORI,Labeling,Labeling
"$Saya menyebut diri saya kurang percaya diri dalam penampilan$, hal itu selalu membuat saya merasa insecure.","$I call myself less confident in my appearance$, it always makes me feel insecure.",RAW-ORI,Labeling,Labeling
"Saya pernah memberi orang lain label $""suka mencari perhatian""$, karena dia selalu bersikap seolah-olah semua orang suka dengan caranya berteman.","I once gave someone the label $""attention-seeking""$, because he always acted as if everyone liked the way he made friends.",RAW-ORI,Labeling,Labeling
"Karena trauma akan perundungan pada masa kecil, $aku melebeli orang orang yang tidak taat aturan sebagai orang yang nakal$. Perundungan itu membentuk karakter saya yang menilai dari sampulnya orang - orang","Because of the trauma of bullying when I was a child, I labeled people who didn't obey the rules as naughty people. The bullying shaped my character judging by people's cover",RAW-ORI,Labeling,Labeling
"$Saya pernah berpikir bahwa orang yang terlalu ramah dan selalu memuji orang lain adalah orang yang munafik, naif, dan tidak tulus$, karena saya berpikir dan merasa, semakin 'terang' seseorang, semakin 'gelap' bayangannya.","$I used to think that people who were too friendly and always complimented others were hypocritical, naive, and insincere$, because I thought and felt, the 'brighter' a person is, the 'darker' his shadow is.",RAW-ORI,Labeling,Labeling
"$Saya berpikir ""pihak sma saya dulu adalah pengubur mimpi besar seorang anak""$ karena sma saya membuat saya kehilangan mimpi besar saya sejak kecil, yaitu mengikuti pertukaran pelajar ke luar negeri saat sma.","$I thought ""my high school used to bury a child's big dreams""$ because my high school made me lose my big dream since I was little, namely going on a student exchange abroad during high school.",RAW-ORI,Labeling,Labeling
Saya sering berpikir bahwa $saya adalah orang yang tidak beruntung di bidang kreatif$ karena ia tidak mempunyai bakat di bidang seni,I often think that I am an unlucky person in the creative field because I don't have talent in the arts,RAW-ORI,Labeling,Labeling
"$Saya kadang masih sering berpikir bahwa saya adalah orang yang tidak akan pernah bisa merasa percaya diri$ dengan diri saya, terutama dalam hal penampilan (fisik).","$I still sometimes think that I am a person who will never be able to feel confident$ with myself, especially in terms of (physical) appearance.",RAW-ORI,Labeling,Labeling
"$saya berpikir saya oranh yang aneh$ karena susah bersosialisasi, sulit untuk mengeluarkan kata"" dan susah bergaul","$I think I'm a weird person$ because I have difficulty socializing, have difficulty getting words out and have difficulty getting along",RAW-ORI,Labeling,Labeling
$Aku berfikir aku adalah orang yang malas dan bodoh$ karena saya sangat kurang dibandingkan teman-teman saya,$I think I am a lazy and stupid person$ because I am very lacking compared to my friends,RAW-ORI,Labeling,Labeling
$Saya pernah berpikir bahwa saya bodoh dan tidak berguna$ karena tidak lolos SNMPTN.,$I once thought that I was stupid and useless$ because I didn't pass SNMPTN.,RAW-ORI,Labeling,Labeling
ketika $saya tidak masuk ptn di Jawa$,when $i didn't get into a university in Java$,RAW-ORI,Labeling,Labeling
Ketika saya gagal dalam memahami pelajaran yang saya pelajari $saya selalu menjudge diri saya adalah orang yang bodoh$,"When I fail to understand the lessons I learn, I always judge myself to be stupid",RAW-ORI,Labeling,Labeling
$saya melihat seseorang dengan tato ditubuhnya dan mengecap dia orang buruk$ namun ketika mendengar dia berkata terimakasih. saya langsung mengganti mindset saya bahwa ia orang yang sopan,$I saw someone with tattoos on his body and thought he was a bad person$ but when I heard him say thank you. I immediately changed my mindset that he was a polite person,RAW-ORI,Labeling,Labeling
Ketika teman saya menceritakan hal negatif mengenai pasangannya yang membuat $saya mencap orang itu memang tidak baik untuknya$,When my friend tells me negative things about his partner that makes me think that person is not good for him,RAW-ORI,Labeling,Labeling
Waktu menjalin pertemanan saya menghadapi berbagai macam karakter yang berbeda. Ada satu teman saya sebut saja si A. Awalnya saya melihat si A seperti teman saya yang lain secara umum . Tidak ada yang salah dalam diri si A yang menganggu saya. Sewaktu ketika teman saya si B mengatakan bahwa si A memiliki centil dan pernah merebut pacar orang lain. Setelah saya mendengar itu seketika saya sekan melihat perubahan dalam diri si A. $Saya selalu melihat A seperti apa yang dikatakan oleh si B.$,"When I made friends, I encountered a variety of different characters. There is one friend I'll call him A. At first I saw A like my other friends in general. There is nothing wrong with A that bothers me. One time my friend B said that A was sassy and had stolen someone else's girlfriend. After I heard that, I immediately saw a change in person A. I always saw A as what person B said.",RAW-ORI,Labeling,Labeling
"Satu alasan yang membuat sampai saat ini saya tidak percaya diri adalah dulu saya sering di bilang gendut. Dan saya berpikir kalau penampilan begitu penting dan mungkin saya belum mendapatkan pasangan karena saya gendut, dan $saya juga berpikir kalau perempuan itu gendut pasti jelek$","One reason that makes me not confident until now is that I was often called fat. And I think that appearance is very important and maybe I haven't gotten a partner because I'm fat, and I also think that if a woman is fat she must be ugly.",RAW-ORI,Labeling,Labeling
$Unud itu kurang bagus karena rektornya korupsi$,Unud is not good because the chancellor is corrupt,RAW-ORI,Labeling,Labeling
"$Saya termasuk orang yang perfeksionis$, maka ketika ada kritikan pedas atas kinerja saya dalam hal apapun, saya akan terus memikirkan itu.","$I am a perfectionist$, so when there is harsh criticism of my performance in anything, I will keep thinking about it.",RAW-ORI,Labeling,Labeling
"Pandangan seseorang kepada saya kebanyakan melihat diri saya seseorang yang pintar, namun beberapa juga berkomentar saya orang yang pendiam dan orang lain mendorong saya untuk lebih berinteraksi, hal tersebut selalu teringat dalam diri saya dan menganggap $diri saya tidak cukup bagi orang lain$","Most people's views of me see me as someone who is smart, but some also comment that I am a quiet person and other people encourage me to interact more, this always comes back to me and I think that I am not enough for other people.",RAW-ORI,Labeling,Labeling
"saya pernah mendapat kabar dari teman saya bahwa saya sedang disukai oleh seorang wanita di sekolah, saya merasa bangga dan saya merasa percaya diri mendengarnya. namun teman saya yg satunya menyela bahwa ternyata juga banyak wanita yg suka membicarakan saya di belakang saya mengungkit-ungkit kejelakan saya. disitulah saya merasa diri $saya belum pantas bersanding dengan wanita$","I once received news from my friend that I was liked by a woman at school, I felt proud and I felt confident hearing that. but my other friend interjected that apparently there were also many women who liked to talk about me behind my back, bringing up my bad things. That's where I felt that I wasn't worthy of being with a woman",RAW-ORI,Labeling,Labeling
